time,flux,flux_err,time_original,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-18.711939366183927,0.9991526187293694,0.0016758332730042174,1476.1971506335587,9.4290554e-05,179094,1659.51106,1928.41716,5.8712212e+03,9.7850361e+00,1.0019678e+03,3.4426744e+00,6.5867754e+03,1.1047699e+01,0,,,,,1659.51106,1.1454168e-03,1928.41716,1.1330626e-03,-2.2218968e-03,6.3046113e-02
-18.710550474469336,0.9996980676301997,0.0016763203562430297,1476.1985395254376,9.4294119e-05,179095,1659.51365,1928.42228,5.8725269e+03,9.7878132e+00,1.0039435e+03,3.4493613e+00,6.5903257e+03,1.1050834e+01,0,,,,,1659.51365,1.1452471e-03,1928.42228,1.1323289e-03,-2.9353643e-04,6.9233976e-02
-18.70916158240153,1.0029485181618885,0.001677817076278288,1476.1999284173096,9.4297677e-05,179096,1659.51355,1928.41799,5.8922939e+03,9.7965155e+00,1.0010533e+03,3.4366868e+00,6.6117285e+03,1.1060658e+01,0,,,,,1659.51355,1.1450887e-03,1928.41799,1.1292708e-03,-1.9136630e-03,6.4432964e-02
-18.70777269068694,0.9992390357288677,0.0016765411322927626,1476.2013173091825,9.4301235e-05,179097,1659.51366,1928.41883,5.8720742e+03,9.7891369e+00,1.0054142e+03,3.4535437e+00,6.5873223e+03,1.1052327e+01,0,,,,,1659.51366,1.1449812e-03,1928.41883,1.1344429e-03,-5.3550495e-04,6.6473320e-02
-18.70638379861914,1.0001997451371396,0.0016789735416359985,1476.2027062010475,9.4304785e-05,179098,1659.51448,1928.42101,5.8754360e+03,9.8034496e+00,1.0084356e+03,3.4559512e+00,6.5937305e+03,1.1068488e+01,0,,,,,1659.51448,1.1464602e-03,1928.42101,1.1355928e-03,-1.1678322e-03,6.6123955e-02
-18.70499490690455,1.001832545334406,0.0016775739579803714,1476.2040950929124,9.4308336e-05,179099,1659.50844,1928.42015,5.8866030e+03,9.7952700e+00,1.0019692e+03,3.4435437e+00,6.6044888e+03,1.1059252e+01,0,,,,,1659.50844,1.1443741e-03,1928.42015,1.1305155e-03,-2.3230179e-03,6.7616165e-02
-18.703606014836744,0.9999934731686766,0.001679576770251425,1476.20548398477,9.4311879e-05,179100,1659.51291,1928.42038,5.8779834e+03,9.8070860e+00,1.0018238e+03,3.4494965e+00,6.5924468e+03,1.1072593e+01,0,,,,,1659.51291,1.1478527e-03,1928.42038,1.1373266e-03,-2.7516719e-03,6.6992983e-02
-18.702217123122153,1.0006669522324065,0.0016765610249331422,1476.2068728766276,9.4315423e-05,179101,1659.51430,1928.40933,5.8792241e+03,9.7894316e+00,1.0036097e+03,3.4404540e+00,6.5968560e+03,1.1052660e+01,0,,,,,1659.51430,1.1448500e-03,1928.40933,1.1320444e-03,-1.9319874e-03,5.8106389e-02
-18.700828231407563,0.9992908482248536,0.0016767423420636536,1476.2082617684785,9.4318959e-05,179102,1659.51723,1928.42033,5.8727080e+03,9.7905235e+00,1.0078217e+03,3.4456596e+00,6.5878071e+03,1.1053894e+01,0,,,,,1659.51723,1.1462477e-03,1928.42033,1.1348489e-03,7.0193608e-04,6.7204714e-02
-18.69943933933976,1.0006328373696955,0.0016776555421236295,1476.2096506603289,9.4322495e-05,179103,1659.51340,1928.42098,5.8815850e+03,9.7958202e+00,1.0053412e+03,3.4483225e+00,6.5966299e+03,1.1059874e+01,0,,,,,1659.51340,1.1441521e-03,1928.42098,1.1312554e-03,-4.0467412e-04,6.7787066e-02
-18.69805044762517,1.0025594298480607,0.0016787207382467986,1476.2110395521713,9.4326024e-05,179104,1659.51421,1928.41915,5.8910190e+03,9.8020544e+00,1.0068148e+03,3.4503500e+00,6.6093403e+03,1.1066912e+01,0,,,,,1659.51421,1.1434538e-03,1928.41915,1.1312371e-03,-7.3731277e-04,6.7446120e-02
-18.69666155591058,1.0007420390387827,0.0016777674410904475,1476.2124284440151,9.4329553e-05,179105,1659.51148,1928.41852,5.8796416e+03,9.7965212e+00,1.0071220e+03,3.4511576e+00,6.5973813e+03,1.1060664e+01,0,,,,,1659.51148,1.1436882e-03,1928.41852,1.1324896e-03,-2.1652114e-03,6.6014916e-02
-18.695272663842776,0.9975109706186565,0.0016749312812588256,1476.2138173358514,9.4333074e-05,179106,1659.51244,1928.41867,5.8622812e+03,9.7798843e+00,1.0047413e+03,3.4408193e+00,6.5760298e+03,1.1041882e+01,0,,,,,1659.51244,1.1458342e-03,1928.41867,1.1335755e-03,-2.0535085e-03,6.5229960e-02
-18.693883772128185,0.9997502425042788,0.0016774694622604476,1476.2152062276866,9.4336596e-05,179107,1659.51302,1928.42251,5.8759995e+03,9.7946711e+00,1.0073120e+03,3.4487505e+00,6.5907695e+03,1.1058577e+01,0,,,,,1659.51302,1.1448784e-03,1928.42251,1.1335998e-03,-2.7850801e-03,6.9904208e-02
-18.692494880413594,0.9952389878017865,0.0016749385908941146,1476.2165951195152,9.4340110e-05,179108,1659.51201,1928.42532,5.8496611e+03,9.7798767e+00,1.0064559e+03,3.4465015e+00,6.5610176e+03,1.1041872e+01,0,,,,,1659.51201,1.1511182e-03,1928.42532,1.1358568e-03,-1.4173526e-03,7.0959002e-02
-18.69110598834579,0.9984202444084908,0.0016769688424055637,1476.2179840113442,9.4343624e-05,179109,1659.51496,1928.42234,5.8658945e+03,9.7917233e+00,1.0084064e+03,3.4522474e+00,6.5819844e+03,1.1055247e+01,0,,,,,1659.51496,1.1486453e-03,1928.42234,1.1335961e-03,6.8096467e-04,6.9772132e-02
-18.6897170966312,0.998821406627808,0.0016764421957848718,1476.2193729031655,9.4347131e-05,179110,1659.51367,1928.42139,5.8687310e+03,9.7886343e+00,1.0082839e+03,3.4479496e+00,6.5846196e+03,1.1051760e+01,0,,,,,1659.51367,1.1472397e-03,1928.42139,1.1322442e-03,-1.3754714e-03,6.8377428e-02
