Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,HJ Qatar-10b,HotJupiter,2458247.90746,2026-06-08 02:43:12.058,Primary,33.3,1.645321,284.4439052,69.5708373,12.87
2026-06-07,ETAMU,KIC 10447902,Kepler,2454964.634577,2026-06-08 02:54:36.335,Primary,32.5,0.3374641,280.47693,47.65504,14.92
2026-06-07,ETAMU,KIC 10255110,Kepler,2454953.62364,2026-06-08 02:57:35.844,Secondary,31.6,0.3367025,282.49883,47.33081,13.49
2026-06-07,ETAMU,KIC 12350008,Kepler,2455002.014438,2026-06-08 03:00:47.423,Primary,30.2,0.1845296,287.25986,51.15424,14.6
2026-06-07,ETAMU,HJ KELT-23Ab,HotJupiter,2458140.3792,2026-06-08 03:03:08.482,Secondary,53.5,2.255251,232.1466406,66.3587097,10.31
2026-06-07,ETAMU,KIC 09004380,Kepler,2454964.60001,2026-06-08 03:09:26.160,Primary,31.8,0.2503325,284.2739,45.35933,14.24
2026-06-07,ETAMU,KIC 10389809,Kepler,2454964.670612,2026-06-08 03:10:37.436,Secondary,32.4,0.3973971,284.58741,47.5213,14.64
2026-06-07,ETAMU,KIC 09071104,Kepler,2454964.762894,2026-06-08 03:13:27.406,Secondary,33.3,0.3852134,282.98603,45.40798,13.65
2026-06-07,ETAMU,KIC 10855535,Kepler,2454964.629315,2026-06-08 03:14:31.835,Secondary,30.2,0.1127824,289.21187,48.20314,13.87
2026-06-07,ETAMU,KIC 04904304,Kepler,2454964.743865,2026-06-08 03:19:14.242,Secondary,31.6,0.389474,284.67197,40.01055,13.0
2026-06-07,ETAMU,TIC 0365070128,TESS,2458940.413085,2026-06-08 03:20:05.042,Secondary,61.2,7.2527315,202.0644601269,5.5942906128,11.16
2026-06-07,ETAMU,KIC 11706658,Kepler,2454965.266794,2026-06-08 03:21:09.361,Primary,32.2,1.4079433,288.5121,49.86424,14.61
2026-06-07,ETAMU,KIC 06105491,Kepler,2456903.857649,2026-06-08 03:22:44.839,Primary,32.4,13.2996383,284.99152,41.43335,11.92
2026-06-07,ETAMU,KIC 10395202,Kepler,2454964.643345,2026-06-08 03:23:27.108,Secondary,32.6,0.3059446,287.50562,47.56174,14.7
2026-06-07,ETAMU,KIC 10388897,Kepler,2454964.747492,2026-06-08 03:24:58.744,Primary,35.1,0.3437287,284.10322,47.52905,14.14
2026-06-07,ETAMU,KIC 10796477,Kepler,2454964.678886,2026-06-08 03:27:41.496,Secondary,30.8,0.484966,291.53468,48.13131,14.11
2026-06-07,ETAMU,KIC 10727655,Kepler,2454953.909174,2026-06-08 03:27:51.994,Primary,31.5,0.3533655,290.43291,48.06588,13.43
2026-06-07,ETAMU,KIC 12554536,Kepler,2454953.964623,2026-06-08 03:28:21.257,Secondary,33.3,0.6844956,289.13157,51.53815,12.82
2026-06-07,ETAMU,KIC 07259917,Kepler,2454953.806646,2026-06-08 03:29:37.345,Secondary,35.3,0.3846789,283.25913,42.8456,12.13
2026-06-07,ETAMU,KIC 06109688,Kepler,2454959.199116,2026-06-08 03:30:32.508,Primary,32.5,14.0867881,286.91358,41.48151,12.27
2026-06-07,ETAMU,KIC 06432059,Kepler,2454964.7543,2026-06-08 03:31:10.152,Primary,31.9,0.7697398,288.0399,41.81837,14.84
2026-06-07,ETAMU,KIC 09882280,Kepler,2454964.87713,2026-06-08 03:31:14.472,Primary,33.5,0.289075,287.72297,46.79619,14.52
2026-06-07,ETAMU,KIC 03730067,Kepler,2454964.887243,2026-06-08 03:32:33.234,Primary,32.8,0.2940786,285.8078,38.8948,14.61
2026-06-07,ETAMU,KIC 08555573,Kepler,2454964.830102,2026-06-08 03:32:50.341,Primary,31.6,0.3263619,290.15693,44.6324,14.53
2026-06-07,ETAMU,KIC 11284227,Kepler,2455002.112905,2026-06-08 03:33:34.194,Secondary,36.7,0.4375709,284.17079,49.06197,13.47
2026-06-07,ETAMU,KIC 10916675,Kepler,2454953.700252,2026-06-08 03:34:25.662,Secondary,32.9,0.4188679,290.06441,48.33866,13.38
2026-06-07,ETAMU,KIC 11559864,Kepler,2454964.682124,2026-06-08 03:35:10.962,Secondary,31.9,0.3833011,292.2662,49.51173,14.16
2026-06-07,ETAMU,KIC 06424124,Kepler,2454964.891371,2026-06-08 03:36:13.157,Primary,35.4,0.385528,284.3411,41.8387,13.98
2026-06-07,ETAMU,KIC 09639491,Kepler,2454964.925448,2026-06-08 03:36:27.482,Secondary,34.7,0.3445456,287.11226,46.38074,13.89
2026-06-07,ETAMU,KIC 09934052,Kepler,2454964.719109,2026-06-08 03:37:40.857,Secondary,38.1,0.3522461,282.43057,46.80708,13.8
2026-06-07,ETAMU,KIC 05615528,Kepler,2454964.771134,2026-06-08 03:38:40.728,Secondary,31.2,0.3391748,290.40884,40.8287,14.56
2026-06-07,ETAMU,KIC 08431389,Kepler,2454964.949522,2026-06-08 03:38:42.266,Primary,31.2,0.3510926,292.05099,44.47381,14.59
2026-06-07,ETAMU,KIC 12598713,Kepler,2454953.674386,2026-06-08 03:39:04.445,Secondary,35.5,0.257179,288.26817,51.68321,12.76
2026-06-07,ETAMU,KIC 12458797,Kepler,2455182.791088,2026-06-08 03:39:38.841,Primary,34.1,0.2413212,290.53102,51.30857,13.9
2026-06-07,ETAMU,HJ TIC257060897b,HotJupiter,2459473.94542,2026-06-08 03:39:42.729,Secondary,50.1,3.66003639,227.5321527,72.7103128,11.81
