#mu,eb,a_crit
0.210,0.37,0.207
0.190,0.41,0.197
0.110,0.57,0.143
0.170,0.45,0.184
0.150,0.49,0.174
0.230,0.33,0.221
0.090,0.61,0.130
0.130,0.53,0.159
0.030,0.73,0.099
0.070,0.65,0.118
0.050,0.69,0.107
0.010,0.77,0.099
0.210,0.38,0.206
0.190,0.42,0.193
0.110,0.58,0.139
0.001,0.00,0.766
0.150,0.50,0.167
0.090,0.62,0.127
0.130,0.54,0.153
0.170,0.46,0.182
0.230,0.34,0.218
0.010,0.78,0.092
0.030,0.74,0.098
0.050,0.70,0.104
0.070,0.66,0.116
0.190,0.43,0.193
0.210,0.39,0.203
0.110,0.59,0.137
0.150,0.51,0.166
0.090,0.63,0.124
0.130,0.55,0.149
0.170,0.47,0.174
0.230,0.35,0.208
0.010,0.79,0.086
0.070,0.67,0.111
0.050,0.71,0.100
0.190,0.44,0.183
0.030,0.75,0.091
0.210,0.40,0.195
0.110,0.60,0.133
0.001,0.01,0.765
0.150,0.52,0.158
0.090,0.64,0.119
0.170,0.48,0.173
0.130,0.56,0.146
0.050,0.72,0.094
0.230,0.36,0.206
0.010,0.80,0.085
0.070,0.68,0.108
0.190,0.45,0.182
0.030,0.76,0.088
0.110,0.61,0.127
0.210,0.41,0.193
0.150,0.53,0.153
0.090,0.65,0.116
0.170,0.49,0.166
0.230,0.37,0.205
0.130,0.57,0.141
0.070,0.69,0.104
0.050,0.73,0.091
0.190,0.46,0.175
0.030,0.77,0.084
0.210,0.42,0.191
0.110,0.62,0.125
0.001,0.02,0.763
0.150,0.54,0.151
0.090,0.66,0.112
0.170,0.50,0.164
0.130,0.58,0.136
0.230,0.38,0.203
0.050,0.74,0.086
0.070,0.70,0.101
0.020,0.00,0.610
0.030,0.78,0.077
0.190,0.47,0.172
0.110,0.63,0.120
0.210,0.43,0.183
0.150,0.55,0.146
0.090,0.67,0.108
0.170,0.51,0.162
0.230,0.39,0.194
0.130,0.59,0.133
0.050,0.75,0.083
0.070,0.71,0.096
0.030,0.79,0.077
0.190,0.48,0.168
0.150,0.56,0.143
0.001,0.03,0.749
0.110,0.64,0.116
0.210,0.44,0.181
0.170,0.52,0.157
0.090,0.68,0.103
0.230,0.40,0.191
0.070,0.72,0.093
0.130,0.60,0.130
0.020,0.01,0.608
0.050,0.76,0.082
0.030,0.80,0.072
0.190,0.49,0.163
0.150,0.57,0.139
0.110,0.65,0.112
0.170,0.53,0.150
0.210,0.45,0.180
0.090,0.69,0.099
0.230,0.41,0.190
0.070,0.73,0.088
0.130,0.61,0.126
0.050,0.77,0.077
0.110,0.66,0.107
0.040,0.00,0.481
0.150,0.58,0.134
0.190,0.50,0.162
0.001,0.04,0.708
0.170,0.54,0.149
0.210,0.46,0.171
0.090,0.70,0.096
0.230,0.42,0.182
0.130,0.62,0.122
0.020,0.02,0.600
0.070,0.74,0.084
0.050,0.78,0.074
0.110,0.67,0.105
0.150,0.59,0.130
0.040,0.01,0.480
0.190,0.51,0.155
0.170,0.55,0.143
0.090,0.71,0.092
0.210,0.47,0.170
0.130,0.63,0.118
0.230,0.43,0.179
0.070,0.75,0.081
0.050,0.79,0.069
0.001,0.05,0.707
0.110,0.68,0.101
0.150,0.60,0.126
0.040,0.02,0.476
0.190,0.52,0.155
0.170,0.56,0.138
0.090,0.72,0.089
0.210,0.48,0.164
0.230,0.44,0.178
0.130,0.64,0.114
0.020,0.03,0.591
0.070,0.76,0.077
0.050,0.80,0.067
0.110,0.69,0.099
0.040,0.03,0.471
0.150,0.61,0.121
0.190,0.53,0.148
0.090,0.73,0.085
0.170,0.57,0.137
0.210,0.49,0.160
0.230,0.45,0.171
0.130,0.65,0.109
0.070,0.77,0.073
0.001,0.06,0.705
0.060,0.00,0.477
0.110,0.70,0.095
0.190,0.54,0.143
0.150,0.62,0.120
0.040,0.04,0.465
0.090,0.74,0.081
0.170,0.58,0.132
0.210,0.50,0.155
0.230,0.46,0.169
0.130,0.66,0.107
0.070,0.78,0.071
0.020,0.04,0.568
0.060,0.01,0.476
0.110,0.71,0.090
0.190,0.55,0.142
0.150,0.63,0.115
0.040,0.05,0.462
0.090,0.75,0.077
0.170,0.59,0.128
0.210,0.51,0.153
0.230,0.47,0.167
0.070,0.79,0.065
0.130,0.67,0.103
0.060,0.02,0.471
0.190,0.56,0.137
0.001,0.07,0.699
0.150,0.64,0.113
0.110,0.72,0.087
0.040,0.06,0.461
0.090,0.76,0.074
0.210,0.52,0.148
0.170,0.60,0.124
0.230,0.48,0.160
0.070,0.80,0.064
0.130,0.68,0.100
0.190,0.57,0.130
0.020,0.05,0.561
0.060,0.03,0.462
0.150,0.65,0.107
0.110,0.73,0.083
0.090,0.77,0.071
0.040,0.07,0.461
0.170,0.61,0.119
0.210,0.53,0.147
0.230,0.49,0.160
0.080,0.00,0.462
0.130,0.69,0.095
0.190,0.58,0.127
0.060,0.04,0.455
0.150,0.66,0.105
0.001,0.08,0.691
0.110,0.74,0.079
0.090,0.78,0.068
0.040,0.08,0.460
0.170,0.62,0.117
0.210,0.54,0.141
0.230,0.50,0.153
0.080,0.01,0.460
0.060,0.05,0.453
0.130,0.70,0.092
0.190,0.59,0.125
0.020,0.06,0.540
0.150,0.67,0.100
0.040,0.09,0.459
0.090,0.79,0.063
0.110,0.75,0.076
0.170,0.63,0.112
0.210,0.55,0.137
0.230,0.51,0.151
0.080,0.02,0.454
0.060,0.06,0.452
0.190,0.60,0.122
0.130,0.71,0.088
0.020,0.07,0.499
0.150,0.68,0.096
0.090,0.80,0.059
0.110,0.76,0.073
0.001,0.09,0.687
0.040,0.10,0.458
0.170,0.64,0.109
0.210,0.56,0.135
0.230,0.52,0.146
0.080,0.03,0.447
0.060,0.07,0.449
0.190,0.61,0.118
0.130,0.72,0.085
0.020,0.08,0.484
0.100,0.00,0.449
0.150,0.69,0.093
0.110,0.77,0.069
0.040,0.11,0.457
0.170,0.65,0.106
0.230,0.53,0.141
0.210,0.57,0.130
0.020,0.09,0.480
0.080,0.04,0.445
0.060,0.08,0.447
0.190,0.62,0.115
0.130,0.73,0.081
0.100,0.01,0.446
0.150,0.70,0.090
0.170,0.66,0.103
0.110,0.78,0.065
0.040,0.12,0.457
0.001,0.10,0.682
0.230,0.54,0.138
0.020,0.10,0.477
0.210,0.58,0.126
0.080,0.05,0.444
0.060,0.09,0.444
0.100,0.02,0.442
0.190,0.63,0.110
0.130,0.74,0.077
0.150,0.71,0.086
0.040,0.13,0.452
0.110,0.79,0.061
0.170,0.67,0.099
0.020,0.11,0.474
0.230,0.55,0.134
0.210,0.59,0.122
0.080,0.06,0.443
0.060,0.10,0.444
0.100,0.03,0.436
0.190,0.64,0.106
0.130,0.75,0.074
0.150,0.72,0.083
0.110,0.80,0.060
0.040,0.14,0.444
0.020,0.12,0.469
